benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-16 06:57:36
ended:     2026-08-16 09:10:23
duration:  2h 12m 47s
mean score:    3.19
median score:  1.82
total actions: 1520
total tokens:  2173872
generated tokens/sec: 272.85 (job wallclock)
total wallclock: 198098.6s

per-game (mean across passes):
  ar25-0c556536: score=8.33, levels=2.0/8, actions=43, tokens=69062
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=31, tokens=76960
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=77, tokens=82387
  cn04-2fe56bfb: score=4.76, levels=1.0/6, actions=33, tokens=88023
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=40, tokens=93690
  ft09-0d8bbf25: score=20.52, levels=3.0/6, actions=77, tokens=60069
  g50t-5849a774: score=0.00, levels=0.0/7, actions=55, tokens=100205
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=13, tokens=79044
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=108, tokens=93970
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=45, tokens=93351
  ls20-9607627b: score=2.77, levels=1.0/7, actions=118, tokens=90474
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=153, tokens=101566
  r11l-495a7899: score=4.76, levels=1.0/6, actions=25, tokens=85673
  re86-8af5384d: score=1.30, levels=1.0/8, actions=77, tokens=68644
  s5i5-18d95033: score=2.10, levels=1.0/8, actions=39, tokens=98192
  sb26-7fbdac44: score=2.25, levels=1.0/8, actions=47, tokens=75030
  sc25-635fd71a: score=14.29, levels=2.0/6, actions=90, tokens=104015
  sk48-d8078629: score=0.00, levels=0.0/8, actions=26, tokens=79123
  sp80-589a99af: score=0.00, levels=0.0/6, actions=94, tokens=104684
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=83, tokens=96671
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=43, tokens=59967
  tr87-cd924810: score=0.00, levels=0.0/6, actions=91, tokens=73303
  tu93-0768757b: score=1.82, levels=1.0/9, actions=38, tokens=89797
  vc33-5430563c: score=9.98, levels=2.0/7, actions=39, tokens=102917
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=35, tokens=107055
