benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-16 15:25:26
ended:     2026-08-16 17:38:23
duration:  2h 12m 56s
mean score:    3.54
median score:  1.82
total actions: 1572
total tokens:  2178054
generated tokens/sec: 273.05 (job wallclock)
total wallclock: 198140.4s

per-game (mean across passes):
  ar25-0c556536: score=8.33, levels=2.0/8, actions=85, tokens=78022
  bp35-0a0ad940: score=0.36, levels=1.0/9, actions=99, tokens=104640
  cd82-fb555c5d: score=4.76, levels=1.0/6, actions=59, tokens=81588
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=43, tokens=76622
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=138, tokens=104032
  ft09-0d8bbf25: score=14.29, levels=2.0/6, actions=41, tokens=96833
  g50t-5849a774: score=0.00, levels=0.0/7, actions=23, tokens=43756
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=25, tokens=93974
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=138, tokens=81524
  lp85-305b61c3: score=25.04, levels=4.0/8, actions=78, tokens=79215
  ls20-9607627b: score=0.00, levels=0.0/7, actions=52, tokens=88448
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=37, tokens=75192
  r11l-495a7899: score=0.00, levels=0.0/6, actions=20, tokens=105791
  re86-8af5384d: score=2.78, levels=1.0/8, actions=55, tokens=57956
  s5i5-18d95033: score=2.78, levels=1.0/8, actions=38, tokens=86808
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=131, tokens=102772
  sc25-635fd71a: score=4.76, levels=1.0/6, actions=65, tokens=89728
  sk48-d8078629: score=0.00, levels=0.0/8, actions=28, tokens=55131
  sp80-589a99af: score=4.76, levels=1.0/6, actions=30, tokens=90501
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=47, tokens=92302
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=87, tokens=106820
  tr87-cd924810: score=0.00, levels=0.0/6, actions=112, tokens=105831
  tu93-0768757b: score=3.22, levels=2.0/9, actions=49, tokens=106325
  vc33-5430563c: score=10.71, levels=2.0/7, actions=35, tokens=95000
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=57, tokens=79243
