benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-16 20:04:30
ended:     2026-08-16 22:17:11
duration:  2h 12m 41s
mean score:    2.28
median score:  0.00
total actions: 1087
total tokens:  1896663
generated tokens/sec: 238.23 (job wallclock)
total wallclock: 198158.4s

per-game (mean across passes):
  ar25-0c556536: score=2.78, levels=1.0/8, actions=42, tokens=74062
  bp35-0a0ad940: score=0.64, levels=1.0/9, actions=59, tokens=105529
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=42, tokens=85221
  cn04-2fe56bfb: score=4.76, levels=1.0/6, actions=35, tokens=94016
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=53, tokens=99619
  ft09-0d8bbf25: score=28.57, levels=3.0/6, actions=47, tokens=45998
  g50t-5849a774: score=0.00, levels=0.0/7, actions=22, tokens=84390
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=101, tokens=75758
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=23, tokens=96448
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=21, tokens=102341
  ls20-9607627b: score=0.00, levels=0.0/7, actions=27, tokens=42636
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=108, tokens=97618
  r11l-495a7899: score=4.76, levels=1.0/6, actions=10, tokens=74412
  re86-8af5384d: score=2.78, levels=1.0/8, actions=58, tokens=81172
  s5i5-18d95033: score=2.52, levels=1.0/8, actions=57, tokens=85492
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=64, tokens=46537
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=41, tokens=79406
  sk48-d8078629: score=0.00, levels=0.0/8, actions=0, tokens=0
  sp80-589a99af: score=0.00, levels=0.0/6, actions=58, tokens=107987
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=29, tokens=108783
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=38, tokens=91526
  tr87-cd924810: score=0.00, levels=0.0/6, actions=69, tokens=51825
  tu93-0768757b: score=1.52, levels=1.0/9, actions=28, tokens=34137
  vc33-5430563c: score=0.78, levels=1.0/7, actions=23, tokens=34846
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=32, tokens=96904
