benchmark: model-20260815-q38-p1
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-15 14:39:21
ended:     2026-08-15 16:52:06
duration:  2h 12m 45s
mean score:    4.71
median score:  2.78
total actions: 1541
total tokens:  2327950
generated tokens/sec: 292.27 (job wallclock)
total wallclock: 198094.5s

per-game (mean across passes):
  ar25-0c556536: score=8.33, levels=2.0/8, actions=43, tokens=94263
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=35, tokens=106493
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=24, tokens=102048
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=31, tokens=115533
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=33, tokens=93862
  ft09-0d8bbf25: score=11.75, levels=2.0/6, actions=112, tokens=103825
  g50t-5849a774: score=0.00, levels=0.0/7, actions=23, tokens=91126
  ka59-38d34dbb: score=3.57, levels=1.0/7, actions=47, tokens=71221
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=56, tokens=117002
  lp85-305b61c3: score=8.33, levels=2.0/8, actions=26, tokens=91076
  ls20-9607627b: score=0.00, levels=0.0/7, actions=45, tokens=55900
  m0r0-492f87ba: score=4.46, levels=1.0/6, actions=43, tokens=49338
  r11l-495a7899: score=4.76, levels=1.0/6, actions=13, tokens=88687
  re86-8af5384d: score=6.86, levels=2.0/8, actions=121, tokens=46586
  s5i5-18d95033: score=2.78, levels=1.0/8, actions=138, tokens=104003
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=97, tokens=85503
  sc25-635fd71a: score=24.74, levels=3.0/6, actions=72, tokens=99126
  sk48-d8078629: score=0.00, levels=0.0/8, actions=41, tokens=69449
  sp80-589a99af: score=4.76, levels=1.0/6, actions=60, tokens=101361
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=49, tokens=115329
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=108, tokens=104029
  tr87-cd924810: score=0.00, levels=0.0/6, actions=12, tokens=75297
  tu93-0768757b: score=8.66, levels=3.0/9, actions=147, tokens=115666
  vc33-5430563c: score=21.43, levels=3.0/7, actions=49, tokens=115469
  wa30-ee6fef47: score=2.22, levels=1.0/9, actions=116, tokens=115758
